PO,PO_Description
PO1,"Identify, select and apply appropriate knowledge of computing, science and mathematics in solving computing problems."
PO2,"Understand, apply and integrate best practices and standards in solving computing problems by evaluating their applications."
PO3,Work collaboratively among members of the team to analyze complex problems by applying analytical and quantitative reasoning; and define the computing requirements appropriate to its solution.
PO4,"Communicate effectively with users to identify their needs and apply critical and creative thinking skills to do analysis and take them into account in the selection, creation, evaluation and administration of computer- based systems."
PO5,"Creatively design, implement and evaluate using different computer-based systems, processes, components, or programs to meet desired needs and requirements under various constraints."
PO6,"Properly integrate IT-based solutions using various methods, policies and processes into the user environment effectively."
PO7,"Apply and demonstrate knowledge through the use of current techniques, skills, tools, methods, theory and practices necessary for the IT profession with diversity and multicultural competencies to promote equity and social justice in the community."
PO8,"Function effectively as an individual and as a member or leader in diverse teams and in multidisciplinary settings by developing and contributing positively to the accomplishment of team goals through collaborative process, developing and practicing effective interpersonal skills."
PO9,Assist in the creation of an effective IT Project Plan by evaluates as individual and team’s values and sense of responsibility through participation in a range of learning contexts.
PO10,"Communicate effectively in English (and as much as possible using local language and Filipino) with the computing community and with society at large about complex computing activities through interviewing, logical and ethical writing, presentations, and clear instructions."
PO11,"Able to work collaboratively and respectfully as members and leaders of diverse teams and communities in analyzing, understanding, and assessing societal issues and act responsibly in making design and implement decisions considering the result ofthe research relevant to the local and global impact on computing information technology on the Filipino culture, individuals, organizations, and society."
PO12,"Understand professional, ethical, legal, security and social issues and responsibilities in the utilization of information technology."
PO13,"Apply professional, ethical, legal, security and social issues and responsibilities in the utilization of information technolo gy. Understand, assess societal, health, safety, legal, and cultural issues within local and global contexts, and the consequ ential responsibilities relevant to professional computing practice."
PO14,Participate in generation of new knowledge or in research and development projects aligned to local and national development agenda or goals.
PO15,Graduates are able to apply and demonstrate sufficient expertise in the field of Information Technology with the end view of contributing to the local and national economy.
