PO,PO_Description
PO1,"Apply knowledge of computing, science, and mathematics in solving computing/IT -related problems through critical and creative thinking."
PO2,Use current best practices and standards in solving complex computing/IT -related problems and requirements;
PO3,Analyze complex computing/IT - related problems by applying analytical and quantitative reasoning; and define the computing requirements appropriate to its solution;
PO4,"Identify and analyze user needs and take them into account in the selection, creation, evaluation and administration of computer based - systems;"
PO5,"Design creatively, implement and evaluate different computer-based systems, processes, components, or programs to meet desired needs and requirements under various constraints;"
PO6,"Integrate effectively the IT-based solutions into the user environment with appropriate consideration for public health and safety, cultural, societal, and environmental concerns;"
PO7,"Select, adapt and apply appropriate techniques, resources, skills, and modern computing tools to complex computing activities, with an understanding of the limitations;"
PO8,"Function effectively as individual, or work collaboratively and respectfully as a member or leader in diverse development teams and in multidisciplinary and/or multicultural settings;."
PO9,Assist in the creation of an effective IT project plan;
PO10,Communicate effectively in both oral and in written form by being able to deliver and comprehend instructions clearly; and present persuasively to diverse audience the complex computing / IT-related ideas and perspectives;
PO11,"Assess local and global impact of computing information technology on individuals, organizations, and society;"
PO12,"Act in recognition of professional, ethical, legal, security and social responsibilities in the utilization of information technology;"
PO13,"Recognize the need to engage in independent learning and be at pace with the latest developments in a specialized field in IT, with emphasis on Database Management and Information System; Network Design and Administration; and Computer Vision and Image processing for continual development as a computing professional;"
PO14,Participate in generation of new knowledge; or in research and development projects aligned to local and national development agenda or goals with the end view of contributing to the local and national economy;
PO15,Preserve and Promote “Filipino historical and cultural heritage”.
